experiment_accession,run_accession,accession,sample_accession,secondary_sample_accession,instrument_platform,instrument_model,library_name,library_layout,nominal_length,library_strategy,library_source,library_selection,read_count,base_count,center_name,fastq_bytes,cell_line,cell_type,collected_by,collection_date,country,description,environmental_sample,first_public,germline,identified_by,isolation_source,location,serotype,serovar,sex,submitted_sex,sub_species,tissue_type,tax_id,scientific_name,sample_alias,center_name_1,sampling_campaign,sampling_site,sampling_platform,protocol_label,project_name,host,host_tax_id,host_status,host_sex,submitted_host_sex,host_body_site,host_gravidity,investigation_type,experimental_factor,sample_collection,sequencing_method,sample_title,sample_material,taxonomic_identity_marker,completeness_score,contamination_score,binning_software,lat,lon,sample_capture_status,collection_date_submitted,submission_tool
SRX10347092,SRR13969359,SAMN18315579,SAMN18315579,SRS8466097,ILLUMINA,Illumina HiSeq 2500,strain,PAIRED,,WGS,GENOMIC,RANDOM,505032.0,100038426.0,,30724960;31876335,,,PHE,2021-03-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2021-03-19,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,1128371.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 1128371,,,,,,,,,2021-03,
SRX11638975,SRR15334684,SAMN20527310,SAMN20527310,SRS9672589,ILLUMINA,Illumina HiSeq 2500,strain,PAIRED,,WGS,GENOMIC,RANDOM,519436.0,103143861.0,,33496651;34580565,,,PHE,2021-02-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2021-08-25,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,1104772.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 1104772,,,,,,,,,2021-02,
SRX8783575,SRR12278716,SAMN15356747,SAMN15356747,SRS7052318,ILLUMINA,Illumina MiniSeq,B103_10,PAIRED,,WGS,GENOMIC,PCR,408169.0,106671274.0,SUB7736818,26864215;27797031,,,,2010-01-01,Rwanda: Ngoma,Illumina MiniSeq sequencing; WGS of Salmonella Typhi: Blood sample,False,2021-04-01,False,,blood,2.1853 S 30.4696 E,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,B103_10,SUB7736818,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|jrutanga on 2021-04-01; Salmonella enterica subsp. enterica serovar Typhi,,,,,,-2.1853,30.4696,,2010,
SRX4083573,SRR7165464,SAMN09209851,SAMN09209851,SRS3300621,ILLUMINA,Illumina HiSeq 2500,390031,PAIRED,,WGS,GENOMIC,RANDOM,550432.0,107034022.0,,31829197;33145829,,,PHE,2017-07-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-05-17,False,,human,,Salmonella Typhi,Salmonella Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,390031.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 390031,,,,,,,,,Jul-2017,
SRX11638962,SRR15334671,SAMN20527258,SAMN20527258,SRS9672576,ILLUMINA,Illumina HiSeq 2500,strain,PAIRED,,WGS,GENOMIC,RANDOM,546727.0,107781265.0,,33295413;34153527,,,PHE,2020-04-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2021-08-25,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,921548.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 921548,,,,,,,,,2020-04,
SRX11664588,SRR15362102,SAMN20603585,SAMN20603585,SRS9697285,ILLUMINA,Illumina HiSeq 2500,strain,PAIRED,,WGS,GENOMIC,RANDOM,539669.0,107823069.0,,31617962;33027031,,,PHE,2019-03-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2021-08-25,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,702856.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 702856,,,,,,,,,2019-03,
SRX4083195,SRR7165028,SAMN09209704,SAMN09209704,SRS3300381,ILLUMINA,Illumina HiSeq 2500,477976,PAIRED,,WGS,GENOMIC,RANDOM,558327.0,108196984.0,,33893384;33000086,,,PHE,2018-01-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-05-17,False,,human,,Salmonella Typhi,Salmonella Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,477976.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 477976,,,,,,,,,Jan-2018,
SRX1498155,SRR3049198,SAMN04363440,SAMN04363440,SRS1219800,ILLUMINA,Illumina HiSeq 2500,45205,PAIRED,,WGS,GENOMIC,RANDOM,601788.0,110354118.0,,45226800;45176346,,,PHE,,United Kingdom: None,Illumina HiSeq 2500 sequencing,False,2015-12-25,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,45205.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica subsp I enterica serovar Salmonella Typhi 45205,,,,,,,,,,
ERX5755329,ERR6118104,SAMEA9253021,SAMEA9253021,ERS6987667,ILLUMINA,NextSeq 500,unspecified,PAIRED,350.0,WGS,GENOMIC,RT-PCR,495110.0,113319039.0,CHRISTIAN MEDICAL COLLEGE,35719782;44452726,,,,2019-01-01,India,NextSeq 500 paired end sequencing,False,2021-06-24,False,,,,,,,,,,90370,Salmonella enterica subsp. enterica serovar Typhi,V14178,CHRISTIAN MEDICAL COLLEGE,,,,,,Homo sapiens,9606.0,healthy,,,,,,,,,Genomic surveillance of Salmonella Typhi,,,,,,,,,2019,
SRX5312815,SRR8509157,SAMN10848710,SAMN10848710,SRS4310004,ILLUMINA,Illumina HiSeq 2500,strain,PAIRED,,WGS,GENOMIC,RANDOM,575553.0,113718605.0,,36510746;36462260,,,PHE,2018-03-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2019-02-01,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,503446.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 503446,,,,,,,,,2018-03,
