Name,ST,url,MLST_Profile,ST2,url2,MLST_Profile2
ERR042811,245,http://mlst.warwick.ac.uk/mlst/dbs/Ecoli,6.61.6.11.13.3.50,b6323e3d17690c10c2c6ebb2601c65d81afcd066,http://bigsdb.web.pasteur.fr/ecoli/,113.a900600c0b2175153cb99fbc2d394858e11bbe8e.4.25..146.743d71d00b1edbc0167aabef571e9530b51afb95.748169611f247fc66fa8e4bf24fc587964c2f35a
ERR042822,245,http://mlst.warwick.ac.uk/mlst/dbs/Ecoli,6.61.6.11.13.3.50,b6323e3d17690c10c2c6ebb2601c65d81afcd066,http://bigsdb.web.pasteur.fr/ecoli/,113.a900600c0b2175153cb99fbc2d394858e11bbe8e.4.25..146.743d71d00b1edbc0167aabef571e9530b51afb95.748169611f247fc66fa8e4bf24fc587964c2f35a
ERR042829,245,http://mlst.warwick.ac.uk/mlst/dbs/Ecoli,6.61.6.11.13.3.50,b6323e3d17690c10c2c6ebb2601c65d81afcd066,http://bigsdb.web.pasteur.fr/ecoli/,113.a900600c0b2175153cb99fbc2d394858e11bbe8e.4.25..146.743d71d00b1edbc0167aabef571e9530b51afb95.748169611f247fc66fa8e4bf24fc587964c2f35a
ERR042836,245,http://mlst.warwick.ac.uk/mlst/dbs/Ecoli,6.61.6.11.13.3.50,b6323e3d17690c10c2c6ebb2601c65d81afcd066,http://bigsdb.web.pasteur.fr/ecoli/,113.a900600c0b2175153cb99fbc2d394858e11bbe8e.4.25..146.743d71d00b1edbc0167aabef571e9530b51afb95.748169611f247fc66fa8e4bf24fc587964c2f35a
ERR042837,245,http://mlst.warwick.ac.uk/mlst/dbs/Ecoli,6.61.6.11.13.3.50,b6323e3d17690c10c2c6ebb2601c65d81afcd066,http://bigsdb.web.pasteur.fr/ecoli/,113.a900600c0b2175153cb99fbc2d394858e11bbe8e.4.25..146.743d71d00b1edbc0167aabef571e9530b51afb95.748169611f247fc66fa8e4bf24fc587964c2f35a
ERR042848,245,http://mlst.warwick.ac.uk/mlst/dbs/Ecoli,6.61.6.11.13.3.50,b6323e3d17690c10c2c6ebb2601c65d81afcd066,http://bigsdb.web.pasteur.fr/ecoli/,113.a900600c0b2175153cb99fbc2d394858e11bbe8e.4.25..146.743d71d00b1edbc0167aabef571e9530b51afb95.748169611f247fc66fa8e4bf24fc587964c2f35a
ERR042855,245,http://mlst.warwick.ac.uk/mlst/dbs/Ecoli,6.61.6.11.13.3.50,b6323e3d17690c10c2c6ebb2601c65d81afcd066,http://bigsdb.web.pasteur.fr/ecoli/,113.a900600c0b2175153cb99fbc2d394858e11bbe8e.4.25..146.743d71d00b1edbc0167aabef571e9530b51afb95.748169611f247fc66fa8e4bf24fc587964c2f35a
ERR047347,1025,http://mlst.warwick.ac.uk/mlst/dbs/Ecoli,6.61.6.174.13.3.50,9e262da189131a558f880d051c88d45de2cbd50a,http://bigsdb.web.pasteur.fr/ecoli/,178f9e113b309793c3eb90b991df763409a4198e.a900600c0b2175153cb99fbc2d394858e11bbe8e.4.25..146.743d71d00b1edbc0167aabef571e9530b51afb95.c161b8e0dd10b24e04e2d1ecd124e66634afb645
ERR047351,1025,http://mlst.warwick.ac.uk/mlst/dbs/Ecoli,6.61.6.174.13.3.50,9e262da189131a558f880d051c88d45de2cbd50a,http://bigsdb.web.pasteur.fr/ecoli/,178f9e113b309793c3eb90b991df763409a4198e.a900600c0b2175153cb99fbc2d394858e11bbe8e.4.25..146.743d71d00b1edbc0167aabef571e9530b51afb95.c161b8e0dd10b24e04e2d1ecd124e66634afb645
ERR047362,1025,http://mlst.warwick.ac.uk/mlst/dbs/Ecoli,6.61.6.174.13.3.50,9e262da189131a558f880d051c88d45de2cbd50a,http://bigsdb.web.pasteur.fr/ecoli/,178f9e113b309793c3eb90b991df763409a4198e.a900600c0b2175153cb99fbc2d394858e11bbe8e.4.25..146.743d71d00b1edbc0167aabef571e9530b51afb95.c161b8e0dd10b24e04e2d1ecd124e66634afb645
