experiment_accession,run_accession,accession,sample_accession,secondary_sample_accession,instrument_platform,instrument_model,library_name,library_layout,nominal_length,library_strategy,library_source,library_selection,read_count,base_count,center_name,fastq_bytes,cell_line,cell_type,collected_by,collection_date,country,description,environmental_sample,first_public,germline,identified_by,isolation_source,location,serotype,serovar,sex,submitted_sex,sub_species,tissue_type,tax_id,scientific_name,sample_alias,center_name_1,sampling_campaign,sampling_site,sampling_platform,protocol_label,project_name,host,host_tax_id,host_status,host_sex,submitted_host_sex,host_body_site,host_gravidity,investigation_type,experimental_factor,sample_collection,sequencing_method,sample_title,sample_material,taxonomic_identity_marker,completeness_score,contamination_score,binning_software,lat,lon,sample_capture_status,collection_date_submitted,submission_tool
ERX4015306,ERR4013917,SAMEA6656858,SAMEA6656858,ERS4416325,ILLUMINA,NextSeq 500,unspecified,PAIRED,300.0,WGS,GENOMIC,RANDOM,145133.0,43008789.0,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark",12736139;12448426,,,DTU,2018-01-01,Denmark,NextSeq 500 paired end sequencing,False,2021-01-05,False,,Sputum,56.26392 N 9.501785 E,,,,,,,727,Haemophilus influenzae,1D-549,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark",,,,,,Homo sapiens,9606.0,not provided,,,,,,,,,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2020-04-10; Haemophilus influenzae",,,,,,56.26392,9.501785,,2018,
SRX762383,SRR1655917,SAMN03197685,SAMN03197685,SRS746890,ILLUMINA,Illumina HiSeq 2000,492_HINF,PAIRED,,WGS,GENOMIC,RANDOM,230436.0,43864290.0,University of Washington,18954514;18763381,,,UW clinical laboratory,,USA: WA,Illumina HiSeq 2000 sequencing; Whole genome seq of Haemophilus influenzae clinical isolate: Sample 492_HINF,False,2015-07-08,False,,,,,,,,,,727,Haemophilus influenzae,492_HINF,University of Washington,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|stevesal on 2015-07-08; Haemophilus influenzae,,,,,,,,,,
SRX12367128,SRR16080763,SAMN21850981,SAMN21850981,SRS10338297,ILLUMINA,Illumina MiSeq,UK399625_WGS,PAIRED,,WGS,GENOMIC,RANDOM,255363.0,51009153.0,SUB10407804,13680654;14747366,,,"Respiratory and Vaccine Preventable Bacterial Reference Unit, Public Health England, London, UK",2017-01-01,United Kingdom,Illumina MiSeq sequencing; WGS of UK399625,False,2021-10-01,False,,blood,,,,,,,,727,Haemophilus influenzae,UK399625,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2017,
SRX8912752,SRR12416751,SAMN15061400,SAMN15061400,SRS7169474,ILLUMINA,NextSeq 550,BC1,PAIRED,,WGS,GENOMIC,PCR,365434.0,53532842.0,SUB7900623,16301294;16665295,,,Valleria Cassettari,2017-05-17,Brazil: Sao Paulo,NextSeq 550 sequencing; Hi 185,False,2020-08-10,False,,blood,23.564932 S 46.7407 W,,,,,,,727,Haemophilus influenzae,Hi185,SUB7900623,,,,,,Homo sapiens,9606.0,,,,,,,,,,Haemophilus influenzae isolated from blood of an adult,,,,,,-23.564932,-46.7407,,2017-05-17,
ERX5688662,ERR6049682,SAMEA8912190,SAMEA8912190,ERS6595073,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,150.0,WGS,GENOMIC,PCR,399786.0,54585778.0,"IDIBELL, Bellvitge University Hospital",20760780;22735428,,,Centro Hospitalar de Coimbra,2013-01-01,Portugal,Illumina MiSeq paired end sequencing,False,2021-09-15,False,,Blood,,,,,,,,727,Haemophilus influenzae,PT-CNR-HI12715,"IDIBELL, Bellvitge University Hospital",,,,,,Homo sapiens,9606.0,,,,,,,,,,Haemophilus influenzae serotype f,,,,,,,,,2013,
ERX3332795,ERR3306749,SAMEA5380401,SAMEA5380401,ERS3186988,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,147346.0,56343284.0,University of Southampton,22786680;16816644,,,,2012-04-05,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,NP,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1323,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1323,,,,,,,,,2012-04-05,
SRX12367439,SRR16080764,SAMN21850978,SAMN21850978,SRS10338608,ILLUMINA,Illumina MiSeq,UK399620_WGS,PAIRED,,WGS,GENOMIC,RANDOM,289894.0,57717864.0,SUB10407804,15294125;16206520,,,"Respiratory and Vaccine Preventable Bacterial Reference Unit, Public Health England, London, UK",2012-01-01,United Kingdom,Illumina MiSeq sequencing; WGS of UK399620,False,2021-10-01,False,,blood,,,,,,,,727,Haemophilus influenzae,UK399620,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2012,
ERX3332773,ERR3306727,SAMEA5380379,SAMEA5380379,ERS3186966,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,159329.0,57786236.0,University of Southampton,22733010;17281051,,,,2012-04-11,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1299,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1299,,,,,,,,,2012-04-11,
ERX3332776,ERR3306730,SAMEA5380382,SAMEA5380382,ERS3186969,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,158704.0,58396874.0,University of Southampton,23157679;17785044,,,,2012-07-09,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1303,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1303,,,,,,,,,2012-07-09,
ERX3332797,ERR3306751,SAMEA5380403,SAMEA5380403,ERS3186990,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,158913.0,59204656.0,University of Southampton,23827911;17979361,,,,2012-04-05,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,NP,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1326,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1326,,,,,,,,,2012-04-05,
