Name,ST,url,MLST_Profile
DRR235028,56,https://pubmlst.org/hinfluenzae/,13.16.5.18.3.11.7
DRR243751,1511,https://pubmlst.org/hinfluenzae/,13.16.5.18.46.11.7
ERR2206331,349,https://pubmlst.org/hinfluenzae/,28.14.13.1.62.13.1
ERR2206332,597,https://pubmlst.org/hinfluenzae/,11.33.7.1.7.41.29
ERR2206333,139,https://pubmlst.org/hinfluenzae/,1.1.1.14.45.14.21
ERR2206334,838,https://pubmlst.org/hinfluenzae/,40.3.38.1.35.122.21
ERR2206335,201,https://pubmlst.org/hinfluenzae/,33.8.8.16.1.2.3
ERR2206336,210,https://pubmlst.org/hinfluenzae/,5.33.7.15.87.58.29
ERR2206337,577,https://pubmlst.org/hinfluenzae/,95.2.15.8.30.61.3
ERR2206338,201,https://pubmlst.org/hinfluenzae/,33.8.8.16.1.2.3
ERR2206339,931,https://pubmlst.org/hinfluenzae/,35.33.7.15.46.71.29
ERR2206340,201,https://pubmlst.org/hinfluenzae/,33.8.8.16.1.2.3
ERR2206341,13,https://pubmlst.org/hinfluenzae/,3.9.8.4.14.8.4
ERR2206342,932,https://pubmlst.org/hinfluenzae/,5.14.7.8.62.156.29
ERR2206343,933,https://pubmlst.org/hinfluenzae/,5.33.7.11.22.66.21
ERR2206344,531,https://pubmlst.org/hinfluenzae/,93.46.72.11.95.70.45
ERR2206345,201,https://pubmlst.org/hinfluenzae/,33.8.8.16.1.2.3
ERR2206346,159,https://pubmlst.org/hinfluenzae/,33.8.16.16.17.2.29
ERR2206347,395,https://pubmlst.org/hinfluenzae/,14.51.16.48.15.2.31
ERR2206348,264,https://pubmlst.org/hinfluenzae/,5.8.58.14.91.13.29
ERR2206349,943,https://pubmlst.org/hinfluenzae/,1.102.19.19.10.185.2
ERR2206350,201,https://pubmlst.org/hinfluenzae/,33.8.8.16.1.2.3
ERR2206351,311,https://pubmlst.org/hinfluenzae/,11.43.35.11.51.31.19
ERR2206352,103,https://pubmlst.org/hinfluenzae/,1.1.1.14.9.14.13
ERR2206353,203,https://pubmlst.org/hinfluenzae/,52.1.1.14.89.62.37
ERR2206354,425,https://pubmlst.org/hinfluenzae/,39.8.35.11.65.48.19
ERR2206355,925,https://pubmlst.org/hinfluenzae/,37.35.57.8.7.183.13
ERR2206356,12,https://pubmlst.org/hinfluenzae/,1.1.1.13.13.25.16
ERR2206357,348,https://pubmlst.org/hinfluenzae/,47.54.19.1.94.90.62
ERR2206358,577,https://pubmlst.org/hinfluenzae/,95.2.15.8.30.61.3
ERR2206359,57,https://pubmlst.org/hinfluenzae/,14.7.13.7.17.13.17
ERR2206360,425,https://pubmlst.org/hinfluenzae/,39.8.35.11.65.48.19
ERR2206361,160,https://pubmlst.org/hinfluenzae/,40.1.1.14.1.59.3
ERR2206362,57,https://pubmlst.org/hinfluenzae/,14.7.13.7.17.13.17
ERR2206363,555,https://pubmlst.org/hinfluenzae/,63.33.7.15.105.38.29
ERR2206364,13,https://pubmlst.org/hinfluenzae/,3.9.8.4.14.8.4
ERR2206365,12,https://pubmlst.org/hinfluenzae/,1.1.1.13.13.25.16
ERR2206366,936,https://pubmlst.org/hinfluenzae/,3.18.53.15.86.6.23
ERR2206367,201,https://pubmlst.org/hinfluenzae/,33.8.8.16.1.2.3
ERR2206368,12,https://pubmlst.org/hinfluenzae/,1.1.1.13.13.25.16
ERR2206369,937,https://pubmlst.org/hinfluenzae/,39.8.35.43.65.4.19
ERR2206370,348,https://pubmlst.org/hinfluenzae/,47.54.19.1.94.90.62
ERR2206371,2,https://pubmlst.org/hinfluenzae/,14.7.1.15.16.4.1
ERR2206372,939,https://pubmlst.org/hinfluenzae/,5.8.58.14.111.13.29
ERR2206373,425,https://pubmlst.org/hinfluenzae/,39.8.35.11.65.48.19
ERR2206374,425,https://pubmlst.org/hinfluenzae/,39.8.35.11.65.48.19
ERR2206375,12,https://pubmlst.org/hinfluenzae/,1.1.1.13.13.25.16
ERR2206376,536,https://pubmlst.org/hinfluenzae/,30.1.22.36.51.31.29
ERR2206377,18,https://pubmlst.org/hinfluenzae/,18.6.3.7.10.28.12
ERR2206378,263,https://pubmlst.org/hinfluenzae/,28.14.1.1.16.55.1
ERR2206379,945,https://pubmlst.org/hinfluenzae/,105.18.53.2.208.3.34
ERR2206380,199,https://pubmlst.org/hinfluenzae/,6.20.41.40.88.63.43
ERR2206381,569,https://pubmlst.org/hinfluenzae/,110.8.38.4.78.140.28
ERR2206382,589,https://pubmlst.org/hinfluenzae/,107.20.7.12.26.92.29
ERR2206383,411,https://pubmlst.org/hinfluenzae/,14.7.13.30.1.21.1
ERR2206384,238,https://pubmlst.org/hinfluenzae/,5.33.7.15.26.77.29
ERR2206385,154,https://pubmlst.org/hinfluenzae/,37.35.57.14.1.14.5
ERR2206386,8cbe4ec8fa39add3e93dbdff7f630b98c42647de,https://pubmlst.org/hinfluenzae/,150.24.134..209.86.122
ERR2206387,577,https://pubmlst.org/hinfluenzae/,95.2.15.8.30.61.3
ERR2206388,210,https://pubmlst.org/hinfluenzae/,5.33.7.15.87.58.29
ERR2206389,2,https://pubmlst.org/hinfluenzae/,14.7.1.15.16.4.1
ERR2206390,12,https://pubmlst.org/hinfluenzae/,1.1.1.13.13.25.16
ERR2206391,264,https://pubmlst.org/hinfluenzae/,5.8.58.14.91.13.29
ERR2206392,941,https://pubmlst.org/hinfluenzae/,6.42.43.9.78.52.35
ERR2206393,425,https://pubmlst.org/hinfluenzae/,39.8.35.11.65.48.19
ERR2206394,942,https://pubmlst.org/hinfluenzae/,113.33.7.1.10.41.29
ERR2206395,105,https://pubmlst.org/hinfluenzae/,3.9.8.2.14.8.4
ERR2206396,555,https://pubmlst.org/hinfluenzae/,63.33.7.15.105.38.29
ERR2206397,57,https://pubmlst.org/hinfluenzae/,14.7.13.7.17.13.17
ERR2206398,652,https://pubmlst.org/hinfluenzae/,6.43.7.7.77.71.43
ERR2206399,410,https://pubmlst.org/hinfluenzae/,42.57.57.14.7.72.4
ERR2206400,946,https://pubmlst.org/hinfluenzae/,151.77.53.8.210.2.34
ERR2206401,633,https://pubmlst.org/hinfluenzae/,33.8.16.16.17.142.29
ERR2206402,201,https://pubmlst.org/hinfluenzae/,33.8.8.16.1.2.3
ERR2206403,408,https://pubmlst.org/hinfluenzae/,1.1.1.1.1.21.5
ERR2206404,568,https://pubmlst.org/hinfluenzae/,3.9.8.4.26.8.4
ERR2206405,577,https://pubmlst.org/hinfluenzae/,95.2.15.8.30.61.3
ERR2206406,18,https://pubmlst.org/hinfluenzae/,18.6.3.7.10.28.12
ERR2206407,155,https://pubmlst.org/hinfluenzae/,16.8.16.16.30.1.3
ERR2206408,163,https://pubmlst.org/hinfluenzae/,42.9.8.2.62.8.4
ERR2206409,947,https://pubmlst.org/hinfluenzae/,152.103.109.7.167.145.97
ERR2206410,183,https://pubmlst.org/hinfluenzae/,14.44.1.1.22.1.5
ERR2206411,938,https://pubmlst.org/hinfluenzae/,23.3.5.70.1.66.21
ERR2206412,411,https://pubmlst.org/hinfluenzae/,14.7.13.30.1.21.1
ERR2206413,203,https://pubmlst.org/hinfluenzae/,52.1.1.14.89.62.37
ERR2206414,145,https://pubmlst.org/hinfluenzae/,1.8.1.14.22.14.13
ERR2206415,199,https://pubmlst.org/hinfluenzae/,6.20.41.40.88.63.43
ERR2206416,942,https://pubmlst.org/hinfluenzae/,113.33.7.1.10.41.29
ERR2206417,145,https://pubmlst.org/hinfluenzae/,1.8.1.14.22.14.13
ERR2206418,14,https://pubmlst.org/hinfluenzae/,5.1.1.1.1.2.5
ERR2206419,577,https://pubmlst.org/hinfluenzae/,95.2.15.8.30.61.3
ERR2206420,925,https://pubmlst.org/hinfluenzae/,37.35.57.8.7.183.13
ERR2206421,2,https://pubmlst.org/hinfluenzae/,14.7.1.15.16.4.1
ERR2206422,1050,https://pubmlst.org/hinfluenzae/,4.15.106.87.178.186.41
ERR2206423,368,https://pubmlst.org/hinfluenzae/,3.4.17.11.54.3.34
ERR2206424,11,https://pubmlst.org/hinfluenzae/,1.8.1.14.9.14.13
ERR2206425,145,https://pubmlst.org/hinfluenzae/,1.8.1.14.22.14.13
ERR2206426,57,https://pubmlst.org/hinfluenzae/,14.7.13.7.17.13.17
ERR2206427,2,https://pubmlst.org/hinfluenzae/,14.7.1.15.16.4.1
ERR2206428,155,https://pubmlst.org/hinfluenzae/,16.8.16.16.30.1.3
ERR2206429,577,https://pubmlst.org/hinfluenzae/,95.2.15.8.30.61.3
ERR2206430,838,https://pubmlst.org/hinfluenzae/,40.3.38.1.35.122.21
ERR2206431,411,https://pubmlst.org/hinfluenzae/,14.7.13.30.1.21.1
ERR2206432,57,https://pubmlst.org/hinfluenzae/,14.7.13.7.17.13.17
ERR2206433,3,https://pubmlst.org/hinfluenzae/,1.1.1.1.1.1.5
ERR2206434,411,https://pubmlst.org/hinfluenzae/,14.7.13.30.1.21.1
ERR2206435,652,https://pubmlst.org/hinfluenzae/,6.43.7.7.77.71.43
ERR2206436,949,https://pubmlst.org/hinfluenzae/,70.25.1.15.10.167.123
ERR2206437,1602,https://pubmlst.org/hinfluenzae/,5.33.7.15.77.1.29
ERR2206438,57,https://pubmlst.org/hinfluenzae/,14.7.13.7.17.13.17
ERR2206439,161,https://pubmlst.org/hinfluenzae/,41.8.29.9.68.57.8
ERR2206440,105,https://pubmlst.org/hinfluenzae/,3.9.8.2.14.8.4
ERR2206441,848,https://pubmlst.org/hinfluenzae/,50.8.36.51.113.171.64
ERR2206442,834,https://pubmlst.org/hinfluenzae/,55.11.16.14.89.113.3
ERR2206443,472,https://pubmlst.org/hinfluenzae/,26.2.15.7.22.38.3
ERR2206444,57,https://pubmlst.org/hinfluenzae/,14.7.13.7.17.13.17
ERR2206445,388,https://pubmlst.org/hinfluenzae/,60.51.16.48.15.1.31
ERR2206446,145,https://pubmlst.org/hinfluenzae/,1.8.1.14.22.14.13
ERR2206447,124,https://pubmlst.org/hinfluenzae/,22.19.11.11.22.19.15
ERR2206448,334,https://pubmlst.org/hinfluenzae/,71.17.58.18.35.58.56
ERR2206449,411,https://pubmlst.org/hinfluenzae/,14.7.13.30.1.21.1
ERR2206450,1624,https://pubmlst.org/hinfluenzae/,95.54.58.72.47.55.48
ERR2206451,14,https://pubmlst.org/hinfluenzae/,5.1.1.1.1.2.5
ERR2206452,943,https://pubmlst.org/hinfluenzae/,1.102.19.19.10.185.2
ERR2206453,34,https://pubmlst.org/hinfluenzae/,11.2.15.8.28.26.3
ERR2206454,18,https://pubmlst.org/hinfluenzae/,18.6.3.7.10.28.12
ERR2206455,1025,https://pubmlst.org/hinfluenzae/,6.20.107.15.77.8.43
ERR2206456,474,https://pubmlst.org/hinfluenzae/,3.54.65.1.64.78.48
ERR2206457,142,https://pubmlst.org/hinfluenzae/,1.1.1.35.15.53.38
ERR2206458,160,https://pubmlst.org/hinfluenzae/,40.1.1.14.1.59.3
ERR2206459,652,https://pubmlst.org/hinfluenzae/,6.43.7.7.77.71.43
ERR2206460,597,https://pubmlst.org/hinfluenzae/,11.33.7.1.7.41.29
ERR2206461,142,https://pubmlst.org/hinfluenzae/,1.1.1.35.15.53.38
ERR2206462,633,https://pubmlst.org/hinfluenzae/,33.8.16.16.17.142.29
ERR2206463,409,https://pubmlst.org/hinfluenzae/,1.1.1.14.15.111.5
ERR2206464,925,https://pubmlst.org/hinfluenzae/,37.35.57.8.7.183.13
ERR2206465,474,https://pubmlst.org/hinfluenzae/,3.54.65.1.64.78.48
ERR2206466,14,https://pubmlst.org/hinfluenzae/,5.1.1.1.1.2.5
ERR2206467,1625,https://pubmlst.org/hinfluenzae/,33.8.16.16.17.25.29
ERR2206468,145,https://pubmlst.org/hinfluenzae/,1.8.1.14.22.14.13
ERR2206469,245,https://pubmlst.org/hinfluenzae/,1.24.18.18.27.1.5
ERR2206470,12,https://pubmlst.org/hinfluenzae/,1.1.1.13.13.25.16
ERR2206471,25062c68d5647e94b9539ad27fc42ca89d6084fd,https://pubmlst.org/hinfluenzae/,6.20.41.40.fbbf09a1722d55b10856684af0272dc1b68e9c9f.63.43
ERR2206472,1376,https://pubmlst.org/hinfluenzae/,177.8.126.7.249.222.138
ERR2206473,12,https://pubmlst.org/hinfluenzae/,1.1.1.13.13.25.16
ERR2206474,555,https://pubmlst.org/hinfluenzae/,63.33.7.15.105.38.29
ERR2206475,57,https://pubmlst.org/hinfluenzae/,14.7.13.7.17.13.17
ERR2206476,648,https://pubmlst.org/hinfluenzae/,1.1.35.14.115.1.5
ERR2206477,160,https://pubmlst.org/hinfluenzae/,40.1.1.14.1.59.3
ERR2206478,12,https://pubmlst.org/hinfluenzae/,1.1.1.13.13.25.16
ERR2206479,567,https://pubmlst.org/hinfluenzae/,105.18.53.14.7.3.34
ERR2206480,410,https://pubmlst.org/hinfluenzae/,42.57.57.14.7.72.4
ERR2206481,160,https://pubmlst.org/hinfluenzae/,40.1.1.14.1.59.3
ERR2206482,57,https://pubmlst.org/hinfluenzae/,14.7.13.7.17.13.17
ERR2206483,264,https://pubmlst.org/hinfluenzae/,5.8.58.14.91.13.29
ERR2206484,103,https://pubmlst.org/hinfluenzae/,1.1.1.14.9.14.13
ERR2206485,836,https://pubmlst.org/hinfluenzae/,1.11.18.18.62.1.5
ERR2206486,925,https://pubmlst.org/hinfluenzae/,37.35.57.8.7.183.13
ERR2206487,2,https://pubmlst.org/hinfluenzae/,14.7.1.15.16.4.1
ERR2206488,1034,https://pubmlst.org/hinfluenzae/,125.1.1.1.1.2.5
ERR2206489,2,https://pubmlst.org/hinfluenzae/,14.7.1.15.16.4.1
ERR2206490,11,https://pubmlst.org/hinfluenzae/,1.8.1.14.9.14.13
ERR2206491,14,https://pubmlst.org/hinfluenzae/,5.1.1.1.1.2.5
ERR2206492,12,https://pubmlst.org/hinfluenzae/,1.1.1.13.13.25.16
ERR2206493,425,https://pubmlst.org/hinfluenzae/,39.8.35.11.65.48.19
ERR2206494,105,https://pubmlst.org/hinfluenzae/,3.9.8.2.14.8.4
ERR2206495,201,https://pubmlst.org/hinfluenzae/,33.8.8.16.1.2.3
ERR2206496,142,https://pubmlst.org/hinfluenzae/,1.1.1.35.15.53.38
ERR2206497,1627,https://pubmlst.org/hinfluenzae/,135.43.52.7.78.28.98
ERR2206499,147,https://pubmlst.org/hinfluenzae/,1.24.18.14.55.1.5
ERR2206500,652,https://pubmlst.org/hinfluenzae/,6.43.7.7.77.71.43
