accession_id,FLUOROQUINOLONE
SRR6155552,gyrA_T86I
SRR5726023,gyrA_T86I
SRR5858799,gyrA_T86I
SRR17786866,gyrA_T86I
SRR13187171,gyrA_T86I
SRR8428746,none
SRR10031554,gyrA_T86I
SRR15323956,none
SRR6214472,gyrA_T86I
SRR7191158,none
SRR10123469,none
SRR10097016,none
ERR1163821,gyrA_T86I
SRR13350379,gyrA_T86I
SRR9992639,none
SRR6451490,none
SRR7123399,none
SRR8723076,none
SRR8252745,none
SRR7697956,gyrA_T86I
ERR4223818,gyrA_T86I
SRR12487290,none
SRR7465531,none
SRR8054421,none
SRR7904961,none
SRR12680062,none
SRR12070204,gyrA_T86I
SRR9019649,none
SRR2976812,none
SRR5815741,gyrA_T86I
SRR15204007,none
SRR8280853,none
SRR17115196,none
SRR13748945,none
SRR17407497,none
SRR10031593,gyrA_T86I
SRR15897230,none
SRR11544448,none
SRR6376261,none
SRR8280827,none
SRR7821186,gyrA_T86I
SRR2182585,none
SRR11268263,gyrA_T86I
SRR16176859,gyrA_T86I
ERR1163625,none
SRR10919307,none
SRR5865299,none
SRR7439646,none
SRR12070170,gyrA_T86I
ERR4223954,none
SRR7084862,none
SRR9602715,none
SRR14228668,gyrA_T86I
SRR8832659,gyrA_T86I
SRR13240863,none
SRR13427722,none
SRR6764247,gyrA_T86I
SRR15998497,none
SRR11004001,none
SRR8595527,gyrA_T86I
SRR11362780,gyrA_T86I
SRR18539010,gyrA_T86I
SRR11521764,none
SRR6289214,none
SRR15323819,none
SRR10538039,none
SRR5336372,none
SRR10343006,none
ERR1163778,gyrA_T86I
SRR10537862,none
SRR3138664,none
SRR10437518,gyrA_T86I
SRR10537653,gyrA_T86I
SRR8595525,gyrA_T86I
SRR10056732,none
SRR10424241,gyrA_T86I
SRR5941993,none
SRR9962685,none
SRR8662863,none
SRR8434366,none
SRR8696223,none
SRR8662821,gyrA_T86I
SRR10023770,gyrA_T86I
SRR9010134,none
SRR9962476,gyrA_T86I
SRR13277864,none
SRR15216866,none
SRR10056691,none
SRR16764940,gyrA_T86I
SRR12112592,none
SRR12798060,gyrA_T86I
SRR10013544,gyrA_T86I
SRR16465772,none
SRR4125013,gyrA_T86I
ERR4223955,none
SRR15100286,none
SRR8951398,gyrA_T86I
SRR12070091,none
SRR18150883,none
SRR9989851,gyrA_T86I
SRR9968908,gyrA_T86I
SRR13362800,none
SRR5876892,none
SRR13633199,none
SRR5091859,none
SRR16377694,none
SRR6131663,none
SRR5005383,none
SRR6380107,none
SRR8136316,none
SRR5808791,gyrA_T86I
SRR11008823,none
SRR9641766,gyrA_T86I
SRR6916768,gyrA_T86I
SRR6998242,none
SRR12352284,none
SRR14619690,gyrA_T86I
SRR6374041,none
SRR9655705,none
ERR2190194,none
SRR6314281,none
SRR6741481,gyrA_T86I
SRR12828225,none
SRR17853477,gyrA_T86I
SRR8996081,none
SRR10049997,none
SRR10537791,none
SRR6410245,none
SRR9923947,none
SRR15323971,none
SRR13691331,none
SRR6424875,none
SRR17929550,none
SRR8272070,none
SRR10593928,none
SRR3611766,none
SRR11600406,none
SRR14670318,gyrA_T86I
SRR10054191,gyrA_T86I
SRR9990128,none
SRR10250588,none
SRR13253668,none
SRR6356196,none
SRR7692077,none
SRR5091751,gyrA_T86I
SRR9992580,gyrA_T86I
SRR2423690,none
SRR9298863,gyrA_T86I
SRR10002320,none
SRR13633210,gyrA_T86I
SRR13797339,none
SRR8302095,none
SRR12686295,none
SRR7624155,none
SRR5815745,gyrA_T86I
SRR7908207,none
SRR8365011,gyrA_T86I
SRR12781917,none
SRR10423332,gyrA_T86I
SRR12070126,gyrA_T86I
SRR15293509,none
SRR8723318,none
SRR15245979,none
SRR10435251,none
SRR8942624,gyrA_T86I
SRR11080927,none
SRR9297167,none
SRR9154341,none
SRR6151613,gyrA_T86I
SRR9901929,none
SRR9974722,none
SRR12672214,none
SRR3611757,none
SRR17531256,none
SRR16466050,gyrA_T86I
SRR17925373,none
SRR7497118,none
SRR6654174,none
SRR8887330,none
SRR9127606,none
SRR17900392,none
SRR10126624,none
SRR14478907,none
SRR9899093,gyrA_T86I
SRR3475788,none
SRR8798667,gyrA_T86I
SRR9974829,none
SRR10748624,none
SRR13321212,none
SRR10049829,gyrA_T86I
SRR14768738,gyrA_T86I
SRR5517178,none
SRR6916771,none
ERR1163843,none
SRR11615618,none
SRR6356266,gyrA_T86I
SRR10824144,none
SRR11999679,none
SRR15972790,none
SRR18487299,none
SRR12686257,none
SRR10537650,none
SRR11101939,none
SRR5858790,none
SRR6904926,gyrA_T86I
SRR9934302,gyrA_T86I
SRR9090423,none
SRR6498661,none
SRR6324408,gyrA_T86I
SRR10006703,gyrA_T86I
SRR8857488,none
SRR9609611,none
SRR7821187,gyrA_T86I
SRR9900080,none
SRR7503379,none
SRR6261909,none
SRR10224716,none
SRR11586654,none
SRR14565027,none
ERR4223939,none
SRR9934002,gyrA_T86I
SRR12070136,gyrA_T86I
ERR1163465,gyrA_T86I
SRR13244876,none
SRR9943395,none
SRR9875790,gyrA_T86I
SRR12273225,none
SRR6451396,none
SRR9417564,none
SRR12852076,none
SRR10031595,gyrA_T86I
SRR10002318,none
SRR5414665,none
SRR9675974,gyrA_T86I
SRR13921938,none
SRR10026285,gyrA_T86I
SRR11394571,gyrA_T86I
SRR12887518,none
SRR4239809,gyrA_T86I
SRR3774211,none
SRR15293491,gyrA_T86I
SRR14073876,none
SRR12574824,none
SRR12804392,none
