accession_id,FLUOROQUINOLONE
SRR6514347,none
SRR1968073,none
SRR5219518,none
SRR14284300,none
SRR1553761,none
SRR14163383,none
SRR3312324,none
SRR7890419,none
SRR5219529,none
SRR6921973,none
SRR13371004,none
SRR5224306,none
SRR1633491,none
SRR5139187,none
SRR6900859,gyrA_D87N
SRR3392829,qnrB19
SRR5126946,none
SRR13784246,none
SRR12223852,none
SRR5364204,none
SRR14651320,none
SRR14651322,none
SRR13518462,none
SRR13387175,none
SRR1107477,none
SRR13605053,none
SRR1645782,none
SRR7457917,gyrA_D87G
SRR7267890,none
SRR7039802,none
SRR5216197,none
SRR7828532,none
SRR10972438,none
SRR6899337,none
SRR9257724,gyrA_S83Y
ERR235299,none
SRR5216364,none
SRR9622711,gyrA_D87Y
SRR8704749,none
SRR14271564,none
SRR1959254,none
SRR11142754,gyrA_D87Y
SRR9984300,none
SRR7495449,none
SRR13602713,none
SRR6922734,none
SRR2566728,none
SRR7458178,gyrA_D87G
SRR10763799,none
SRR11435823,qnrB19
SRR7850635,none
ERR048503,none
SRR12645967,gyrA_S83Y
SRR15370160,none
SRR5160307,none
SRR7841646,gyrA_D87Y
SRR15853752,none
SRR12867532,none
SRR7443959,gyrA_D87Y
SRR4040094,none
SRR6133724,none
SRR4841832,none
SRR6366123,none
SRR12004658,none
SRR10484530,none
SRR7192251,none
SRR5220237,gyrA_S83Y
SRR8524473,none
ERR369416,none
SRR9921295,gyrA_D87Y
SRR14009336,none
ERR1817215,none
SRR14198911,gyrA_D87Y
SRR6922086,none
SRR11544442,none
SRR4342946,none
SRR12768417,gyrA_S83Y
SRR13004995,none
SRR13374154,gyrA_D87Y
SRR3319060,none
SRR15972105,gyrA_D87Y
SRR6920483,none
SRR1183894,none
SRR7501496,none
SRR2914508,gyrA_D87Y
SRR6918576,none
SRR10810402,none
SRR5441855,none
SRR1967432,none
ERR235115,none
SRR5215497,none
ERR5750935,gyrA_D87Y
SRR5684145,none
SRR5160314,none
SRR5126945,none
SRR5139218,none
SRR14092103,gyrA_D87N
SRR3999993,none
SRR5193265,gyrA_D87Y
SRR13430522,none
SRR5714157,none
SRR13764436,none
SRR13979448,none
SRR9974073,gyrA_D87Y
SRR6927001,none
SRR13404736,none
SRR8081634,none
SRR11927781,gyrA_S83Y
SRR5231284,none
ERR235133,none
SRR5244575,none
SRR9622716,none
SRR7426951,none
SRR2533501,none
SRR1183755,none
SRR10431708,gyrA_D87Y
SRR14434484,gyrB_E466D
SRR6922675,none
SRR8643939,none
SRR6900740,none
SRR12770111,none
SRR12282415,gyrA_S83Y
SRR12610952,gyrA_S83Y
SRR13056865,qnrB19
SRR4063725,none
SRR12770121,none
SRR14163389,none
SRR11772735,none
SRR9122721,none
SRR5215792,none
SRR12768404,none
SRR4046495,none
SRR4841829,none
SRR10228878,gyrA_D87Y
SRR9968689,none
SRR5935674,gyrA_D87G
SRR5647964,none
SRR7495532,none
SRR13649863,none
SRR16641447,none
SRR9117931,gyrA_D87Y
SRR10224693,none
SRR3898177,none
SRR7456984,none
SRR8367079,none
SRR6918332,none
SRR1023850,none
SRR7480599,none
SRR10081770,none
SRR14199792,qnrB19
SRR6039032,none
SRR15419090,gyrA_D87Y
SRR9287789,none
SRR13239239,gyrA_S83F
SRR7251040,none
SRR1963512,none
SRR10108444,none
SRR1967170,none
SRR10382283,none
SRR5945557,none
SRR6950110,none
SRR5947700,gyrA_D87N
SRR3394931,none
SRR1969062,none
SRR8182648,none
SRR6900090,gyrA_D87Y
SRR5219732,none
SRR15361961,none
SRR10294517,none
SRR15043730,gyrA_D87N
SRR5193516,none
SRR7903008,none
SRR12770045,gyrA_S83Y
SRR6750588,none
SRR13743594,none
SRR10032581,gyrA_S83F
SRR6900340,none
SRR6901156,gyrA_S83Y
SRR2038207,none
SRR13744587,none
SRR5579135,none
SRR8724789,gyrA_D87Y
SRR1967516,gyrA_S83Y
SRR13791049,none
SRR5152092,none
SRR14998831,none
SRR1973686,none
SRR7874007,none
SRR6879613,none
SRR5366153,none
SRR8524652,gyrA_S83Y
SRR5501036,none
SRR5486696,none
SRR1828979,none
SRR12146024,gyrA_S83Y
SRR10431736,none
SRR8980089,none
SRR8239903,none
SRR8704868,none
SRR8648353,none
SRR18299043,none
SRR6412803,none
SRR12251273,none
SRR10766013,gyrA_D87Y
SRR7049824,none
SRR7538807,none
SRR7828233,none
SRR7257423,gyrA_S83Y
SRR7850459,none
SRR7349161,none
SRR6353909,gyrA_D87N
SRR6919103,none
SRR13143366,qnrB
SRR3392830,none
SRR12887421,none
SRR1968222,none
SRR15276549,none
SRR5216179,none
SRR6918896,none
SRR6080510,none
SRR8839355,gyrB_E466D
SRR13430524,none
SRR8380059,none
SRR949505,none
SRR10360768,gyrA_D87N
SRR14217364,none
SRR6900861,none
SRR14054561,none
SRR15425038,gyrA_D87Y
SRR1481661,none
SRR6918544,gyrA_D87Y
SRR5220554,none
SRR17332627,gyrA_D87Y
SRR12672368,gyrA_D87Y
SRR3490012,none
SRR7777186,none
SRR6921975,none
SRR7310315,none
SRR2163268,none
SRR8106803,none
SRR5081446,none
SRR5633146,none
SRR8717121,none
SRR6901061,none
SRR12806908,none
SRR6132104,none
SRR5064816,none
SRR7892248,none
SRR5152276,none
SRR5216626,none
SRR3547958,none
SRR10559641,none
SRR7955895,none
SRR1967169,none
SRR3284680,none
SRR10968164,none
SRR6919782,none
SRR14606216,none
SRR12470394,none
SRR5193146,none
SRR10593978,none
SRR5193102,gyrA_S83F
SRR13614778,none
SRR8484213,none
SRR5588098,none
SRR13220777,none
SRR13138260,none
SRR5126964,none
SRR13349527,gyrA_D87Y
SRR1188432,none
SRR8724944,none
SRR8706099,gyrA_D87Y
SRR17263725,none
SRR14091224,qnrB19
SRR6900753,gyrA_D87Y
SRR2566756,none
SRR6898448,none
SRR5193616,none
SRR13865021,none
SRR13811296,none
SRR8515662,none
SRR8514743,none
SRR7286850,none
SRR11515093,gyrA_D87G
SRR13784241,qnrB19
SRR13241902,none
SRR13884928,gyrA_D87N
SRR7298857,none
SRR1961770,gyrA_S83F
SRR15424520,gyrA_D87Y
SRR13518996,none
SRR6900082,qnrB19
SRR5215482,gyrA_D87Y
SRR6919256,none
SRR6217714,none
SRR14271591,none
SRR14091208,gyrB_E466D
SRR1969622,none
SRR10842934,none
SRR1511544,none
SRR1970062,gyrA_D87Y
SRR1511580,none
SRR5220855,none
SRR3593742,none
SRR13203038,gyrB_E466D
SRR5586308,none
SRR8182642,gyrA_D87G
SRR10232099,none
SRR14466013,none
SRR1966863,gyrA_D87N
SRR5486695,none
SRR5927414,none
SRR12770009,gyrA_D87N
SRR8380676,none
SRR10180730,none
SRR6900128,gyrA_S83Y
SRR1963477,gyrA_D87Y
SRR1966453,none
SRR3053228,none
SRR7471099,none
