Name,ST,url,MLST_Profile
DRR021821,244,https://pubmlst.org/paeruginosa/,17.5.12.3.14.4.7
DRR021822,244,https://pubmlst.org/paeruginosa/,17.5.12.3.14.4.7
DRR021823,244,https://pubmlst.org/paeruginosa/,17.5.12.3.14.4.7
DRR021825,357,https://pubmlst.org/paeruginosa/,2.4.5.3.1.6.11
DRR021826,111,https://pubmlst.org/paeruginosa/,17.5.5.4.4.4.3
DRR021827,235,https://pubmlst.org/paeruginosa/,38.11.3.13.1.2.4
DRR021829,235,https://pubmlst.org/paeruginosa/,38.11.3.13.1.2.4
DRR021830,111,https://pubmlst.org/paeruginosa/,17.5.5.4.4.4.3
DRR021831,235,https://pubmlst.org/paeruginosa/,38.11.3.13.1.2.4
DRR021832,111,https://pubmlst.org/paeruginosa/,17.5.5.4.4.4.3
DRR021833,175,https://pubmlst.org/paeruginosa/,28.22.5.3.3.14.19
DRR021834,235,https://pubmlst.org/paeruginosa/,38.11.3.13.1.2.4
DRR021835,357,https://pubmlst.org/paeruginosa/,2.4.5.3.1.6.11
DRR021837,235,https://pubmlst.org/paeruginosa/,38.11.3.13.1.2.4
DRR021838,235,https://pubmlst.org/paeruginosa/,38.11.3.13.1.2.4
DRR030181,b0bf73114074abbe8662d2d25653cc80e2bc35da,https://pubmlst.org/paeruginosa/,13.8.9.3.1.4.9
DRR039942,2165,https://pubmlst.org/paeruginosa/,87.42.114.37.53.97.147
DRR039944,310,https://pubmlst.org/paeruginosa/,5.59.60.3.1.6.4
DRR039945,664,https://pubmlst.org/paeruginosa/,9.5.11.3.4.40.18
DRR039946,310,https://pubmlst.org/paeruginosa/,5.59.60.3.1.6.4
DRR039947,235,https://pubmlst.org/paeruginosa/,38.11.3.13.1.2.4
DRR039949,235,https://pubmlst.org/paeruginosa/,38.11.3.13.1.2.4
DRR039950,277,https://pubmlst.org/paeruginosa/,39.5.9.11.27.5.2
DRR039951,773,https://pubmlst.org/paeruginosa/,5.4.5.5.5.7.8
DRR039952,235,https://pubmlst.org/paeruginosa/,38.11.3.13.1.2.4
DRR039953,310,https://pubmlst.org/paeruginosa/,5.59.60.3.1.6.4
DRR039954,235,https://pubmlst.org/paeruginosa/,38.11.3.13.1.2.4
